menu_id,menu_name,restaurant_id
2038,Free Style Pitas,255
2039,Extreme Pita Creations,255
2040,Flat Baked Pitas,255
2041,Salads,255
2042,Just For Kids,255
2043,Toppings,255
2044,Condiments,255
2045,Cookies,255
