,Calories (kcal),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fibre (g),Sugars (g),Protein (g),Vitamin A,Vitamin C,Calcium,Iron
Apple Sauce,50,0,0,0,0,0,13,1,11,0,0,0,0,0
Banana,110,0,0,0,0,0,27,3,14,1,0,0,0,0
Cheeseburger,380,16,8,0.5,60,710,35,2,6,23,0,0,0,0
Chicken Strips - 2 piece,230,11,1,0.1,30,660,18,1,0,14,0,0,0,0
"Fries, Child's",260,11,1.5,0.1,0,800,38,3,0,4,0,0,0,0
Hamburger,330,13,5,0.5,50,500,33,2,6,20,0,0,0,0
"Milk, 2% - Small",170,7,2.5,0.2,25,160,16,0,16,11,0,0,0,0
