menu_id,menu_name,restaurant_id
21163,Half Bird,1159
21164,"Freebird Burrito, Bird Salad, Nachos, Quesadilla, Tacos",1159
21165,Sides,1159
21166,Monster Burrito,1159
21167,Super Monster,1159
21168,"Kids Taco, Quesadilla",1159
