food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf,is_featured
142138,23035,Triple Bacon Cheeseburger,1 Order,590,32,15,1.5,125,1400,37,3,8,38,0,0,0,0,0,0,0,0
142139,23035,Signature Sriracha Burger on Artisan Roll,1 Order,680,35,13,1.5,95,1040,57,3,13,32,0,0,0,0,0,0,0,0
142140,23035,Double Lone Star Stack Burger,1 Order,960,53,24,3,200,2040,60,3,18,61,0,0,0,0,0,0,0,0
142141,23035,Lone Star Stack Burger,1 Order,720,36,16,1.5,125,1850,59,3,18,41,0,0,0,0,0,0,0,0
142142,23035,Buffalo Bacon Burger on Artisan Roll,1 Order,620,33,13,1.5,105,1170,46,3,11,37,0,0,0,0,0,0,0,0
142143,23035,Swiss Mushroom Melt Burger on Artisan Roll,1 Order,620,33,17,1.5,115,570,47,3,11,36,0,0,0,0,0,0,0,0
142144,23035,Bacon Quarter Pounder With Cheese,1 Order,630,34,15,1.5,125,1450,42,3,10,39,0,0,0,0,0,0,0,0
142145,23035,Bacon Smokehouse Burger on Artisan Roll,1 Order,840,45,17,1.5,130,1580,62,2,18,46,0,0,0,0,0,0,0,0
142146,23035,Double Bacon Smokehouse Burger on Artisan Roll,1 Order,1130,600,103,136,220,73,80,21,14,70,0,0,0,0,0,0,0,0
142147,23036,Cheddar Bacon Onion Grilled Chicken Sandwich,1 Order,650,26,10,0.5,155,2130,50,4,14,53,0,0,0,0,0,0,0,0
142148,23036,Premium Grilled Chicken Bacon Clubhouse Sandwich,1 Order,630,26,8,0,145,1830,50,4,14,48,0,0,0,0,0,0,0,0
142149,23036,Double Filet-O-Fish,1 Order,540,26,6,0,80,780,48,2,5,28,0,0,0,0,0,0,0,0
142150,23036,Premium Buttermilk Crispy Chicken Bacon Clubhouse Sandwich,1 Order,790,40,10,0.5,105,1720,69,5,14,39,0,0,0,0,0,0,0,0
142151,23036,McChicken,1 Order,410,22,4,0,45,590,39,2,5,15,0,0,0,0,0,0,0,0
142152,23036,Buffalo Ranch McChicken,1 Order,360,16,3,0,40,800,40,2,5,15,0,0,0,0,0,0,0,0
142153,23036,Bacon Buffalo Ranch McChicken,1 Order,430,21,4.5,0,55,1040,40,2,6,20,0,0,0,0,0,0,0,0
142154,23036,Bacon Cheddar McChicken,1 Order,550,32,9,0,80,950,41,2,6,24,0,0,0,0,0,0,0,0
142155,23036,Southern Style Buttermilk Crispy Chicken Sandwich,1 Order,470,20,4.5,0,65,950,48,3,5,25,0,0,0,0,0,0,0,0
142156,23036,Filet-O-Fish,1 Order,390,19,4,0,45,560,38,2,5,17,0,0,0,0,0,0,0,0
142157,23036,Hot 'n Spicy McChicken,1 Order,420,22,4,0,45,590,39,3,5,14,0,0,0,0,0,0,0,0
142158,23036,Bacon Cheddar Hot 'n Spicy McChicken,1 Order,550,32,9,0.5,80,960,41,3,6,24,0,0,0,0,0,0,0,0
142159,23036,Chicken McNuggets (10 piece),1 Order,440,27,4.5,0,75,840,26,2,0,24,0,0,0,0,0,0,0,0
142160,23036,Ranch Snack Wrap (Buttermilk Crispy),1 Order,380,20,6,0,45,830,34,2,2,16,0,0,0,0,0,0,0,0
142161,23036,Chicken McNuggets (20 piece),1 Order,890,53,9,0,145,1680,53,4,0,49,0,0,0,0,0,0,0,0
142162,23036,Chicken McNuggets (6 piece),1 Order,270,16,2.5,0,45,510,16,1,0,15,0,0,0,0,0,0,0,0
142163,23036,Chicken McNuggets (40 piece),1 Order,1770,107,18,0.5,295,3370,105,7,1,98,0,0,0,0,0,0,0,0
142164,23036,Premium Bacon Ranch Salad (without chicken),1 Order,190,12,5,0,40,500,9,3,3,14,0,0,0,0,0,0,1,0
142165,23036,Premium Southwest Salad (without chicken),1 Order,160,7,3,0,15,200,19,5,4,8,0,0,0,0,0,0,1,0
142166,23036,Premium Bacon Ranch Salad with Buttermilk Crispy Chicken,1 Order,490,28,8,0,95,1120,28,4,4,33,0,0,0,0,0,0,0,0
142167,23036,Ranch Snack Wrap (Grilled),1 Order,300,13,4.5,0,65,890,25,1,2,21,0,0,0,0,0,0,0,1
142168,23036,Premium Bacon Ranch Salad with Grilled Chicken,1 Order,320,14,6,0,135,1230,9,3,4,42,0,0,0,0,0,0,1,1
142169,23036,Premium Southwest Salad with Buttermilk Crispy Chicken,1 Order,520,25,6,0,75,960,46,8,9,28,0,0,0,0,0,0,0,0
142170,23036,Premium Southwest Salad with Grilled Chicken,1 Order,350,11,4.5,0,110,1070,27,6,9,37,0,0,0,0,0,0,1,0
142171,23036,Chicken McNuggets (4 piece),1 Order,180,11,2,0,30,340,11,1,0,10,0,0,0,0,0,0,0,0
142172,23036,Artisan Grilled Chicken Sandwich,1 Order,380,7,2,0,95,1110,44,3,11,37,0,0,0,0,0,0,0,0
142173,23036,Buttermilk Crispy Chicken Sandwich,1 Order,630,29,5,0,70,1030,63,4,11,28,0,0,0,0,0,0,0,0
142174,23036,Veggie McWrap,1 Order,480,19,6,0.5,20,870,63,8,14,15,0,0,0,0,1,0,0,1
142175,23036,Chicken McNuggets (50 Piece),1 Order,2210,133,22,1,370,4210,132,9,1,122,0,0,0,0,0,0,0,0
142176,23036,Lobster Roll,1 Order,290,5,1.5,0,65,630,35,2,3,24,0,0,0,0,0,0,0,0
142177,23036,McChicken Deluxe,1 Order,510,28,7,0,65,740,44,3,6,20,0,0,0,0,0,0,0,0
142178,23036,Old Bay Double Filet-O-Fish Sandwich,1 Order,540,25,6,0,80,760,49,3,5,29,0,0,0,0,0,0,0,0
142179,23036,Old Bay Filet-O-Fish Sandwich,1 Order,390,18,3.5,0,45,540,40,2,5,17,0,0,0,0,0,0,0,0
142180,23036,Jalapeno McChicken,1 Order,430,20,5,0,55,1030,44,3,6,18,0,0,0,0,0,0,0,0
142181,23036,Hot N' Spicy McChicken Deluxe,1 Order,510,29,8,0,65,750,45,4,6,20,0,0,0,0,0,0,0,0
142182,23036,McChicken Scratch Biscuit,1 Order,450,22,9,0,75,1080,49,3,3,15,0,0,0,0,0,0,0,0
142183,23036,McGriddles Buttermilk Crispy Chicken,1 Order,540,22,6,0,60,1320,61,3,14,24,0,0,0,0,0,0,0,0
142184,23036,Southern Style Chicken McGriddles,1 Order,410,15,4.5,0,30,1160,51,1,16,16,0,0,0,0,0,0,0,0
142185,23036,Southern Style Chicken Biscuit Pressure Fried,1 Order,440,22,8,0,40,1140,46,2,4,15,0,0,0,0,0,0,0,0
