food_id	menu_id	food_name	serving_size	calories	fat	saturated_fat	trans_fat	cholesterol	sodium	carbohydrates	fiber	sugar	protein	vit_a	vit_c	calcium	iron	is_vegetarian	is_vegan	is_gf	
143075	23048	"Radish, sliced"	1 oz.	5	0	0	0	0	10	1	0	0	0	0	6	0	0	1	1	1	0
143076	23048	Spinach	1 oz.	5	0	0	0	0	20	1	0	0	1	50	15	2	4	1	1	1	0
143077	23048	Spring mix salad greens	1 oz.	5	0	0	0	0	30	1	0	0	0	30	20	2	5	1	1	1	0
143078	23048	Tomatoes	1 oz.	5	0	0	0	0	0	1	0	0	0	4	6	0	0	1	1	1	0
143079	23048	Blue Cheese Dressing	1.5 oz.	200	20	4.5	0	20	370	3	0	0	1	0	0	4	0	0	0	0	0
143080	23048	Honey Mustard Dressing	1.5 oz.	130	7	1	0	5	400	14	0	13	0	0	0	0	0	0	0	0	0
143081	23048	Ranch Dressing	1.5 oz.	110	11	1.5	0	0	380	3	0	1	0	0	0	0	0	0	0	0	0
143082	23048	Coleslaw	3 oz.	170	14	2.5	0	10	170	12	1	10	1	10	8	4	2	0	0	0	0
143083	23053	Cornbread	1 piece	140	7	1	0	25	125	19	0	8	2	2	0	2	4	0	0	0	0
143084	23053	French Fries	6 oz.	480	32	7	0	0	700	44	4	0	4	0	15	0	10	1	1	0	0
143085	23053	Fruit Cup	8 oz.	110	0	0	0	0	20	23	2	22	2	25	50	4	0	1	1	0	0
143086	23053	Garlic Toast	1 piece	90	3	1	0	0	200	14	1	1	2	0	2	2	4	0	0	0	0
143087	23053	Macaroni & Cheese	8 oz.	300	13	6	0	25	950	32	1	5	15	6	0	30	6	0	0	0	0
143088	23053	Mashed Potatoes	4 oz.	100	3	0.5	0	0	310	16	2	1	2	0	10	2	2	0	0	0	0
143089	23053	Multigrain Crispbread	1 piece	45	1	0	0	0	65	7	2	0	2	0	0	0	0	1	1	0	0
143090	23053	Rye Crispbread	1 piece	40	0	0	0	0	80	8	2	0	1	0	0	0	0	1	1	0	0
143091	23053	Swedish Meatballs (4)	4	140	10	4	0	35	270	3	1	0	8	0	0	0	4	0	0	0	0
143092	23053	Vegetable Medallions		130	8	5	0	19	200	11	2	1	2	0	0	7	0	0	0	0	0
143093	23053	Veggie Balls (4)	4	110	6	0.5	0	0	400	10	3	2	5	2	2	2	8	0	0	0	0
143094	23053	Chicken Meatballs (4)	4	110	7	2	0	40	290	3	2	0	8	2	2	0	4	0	0	0	1
143095	23053	Chicken Sausage (4)	4	120	6	1.5	0	80	650	1	0	0	16	0	0	2	6	0	0	0	0
143096	23054	Almond Cake		300	21	9	0	110	110	26	2	19	10	6	0	10	6	0	0	1	0
143097	23054	Almond Cake with Choco Butterscotch		320	18	7	0	70	115	32	2	24	8	4	0	8	6	0	0	0	0
143098	23054	Blueberry Raspberry Cheesecake		390	22	12	0	70	180	41	2	26	6	0	4	70	30	0	0	0	0
143099	23054	Butterscotch Cookie		530	22	11	0	35	670	77	2	48	5	15	0	6	110	0	0	0	0
143100	23054	Chocolate Conspiracy Cake		540	33	15	0	55	330	60	4	42	6	2	0	2	15	0	0	0	0
143101	23054	Cream Cake w/Marzipan		310	16	9	0	20	110	40	1	31	3	6	0	6	2	0	0	0	0
143102	23054	Nordic Mousse Dessert		210	9	5	0	10	70	28	1	22	3	0	0	4	4	0	0	0	0
143103	23054	Oat Pastry w/ Coconut Sprinkles		200	12	7	0	120	80	20	2	13	2	0	0	0	0	0	0	0	0
143104	23054	Pastry w/ Almond Paste		190	10	5	0	40	50	24	1	11	2	0	0	0	0	0	0	0	0
143105	23054	Swedish Apple Cake		380	15	6	0	0	150	55	3	31	5	0	8	8	4	0	0	0	0
143106	23055	Bottled Water	16.9 oz.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143107	23055	Coffee	12 oz.	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143108	23055	Cola	10 oz.	56	0	0	0	0	8	14	0	14	0	0	0	0	0	0	0	0	0
143109	23055	"Cola, sugar free"	10 oz.	1	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0
143110	23055	Lingonberry Drink	10 oz.	61	0	0	0	0	3	14	0	14	0	0	0	0	0	0	0	0	0
143111	23055	"Nordic Water, Lemon"	10 oz.	58	0	0	0	0	3	14	0	14	0	0	0	0	0	0	0	0	0
143112	23055	"Nordic Water, Pear"	10 oz.	58	0	0	0	0	0	14	0	14	0	0	0	0	0	0	0	0	0
143113	23055	"Nordic Water, Raspberry"	10 oz.	58	0	0	0	0	3	14	0	14	0	0	0	0	0	0	0	0	0
143114	23055	Americano	6 oz.	9	0.3	0	0	0	0	12	0	1.5	0	0	0	0	0	0	0	0	0
143115	23055	Cappuccino	6 oz.	40	1	1	0	5	0	42	0	5	0.2	5	3	0	0	0	0	0	0
143116	23055	"Coffee, Brewed Drip"	12 oz.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143117	23055	Cola	16 oz.	90	0	0	0	0	0	13	0	22	0	22	0	0	0	0	0	0	0
143118	23055	"Cola, sugar free"	16 oz.	2	0	0	0	0	0	29	0	1	0	0	0	0	0	0	0	0	0
143119	23055	Espresso	3 oz.	9	0.3	0	0	0	0	12	0	1.5	0	0	0	0	0	0	0	0	0
143120	23055	"Frozen Carbonated Beverage, Blue-Raspberry"	20.4 oz.	165	0	0	0	0	0	9	0	43	0	41	0	0	0	0	0	0	0
143121	23055	"Frozen Carbonated Beverage, Cherry"	20.4 oz.	165	0	0	0	0	0	9	0	43	0	41	0	0	0	0	0	0	0
143122	23055	"Frozen Carbonated Beverage, Cola"	20.4 oz.	165	0	0	0	0	0	9	0	43	0	41	0	0	0	0	0	0	0
143123	23055	"Frozen Carbonated Beverage, Lemonade"	20.4 oz.	165	0	0	0	0	0	26	0	43	0	41	0	0	0	0	0	0	0
143124	23055	"Frozen Carbonated Beverage, Lemon-Lime"	20.4 oz.	165	0	0	0	0	0	17	0	43	0	41	0	0	0	0	0	0	0
143125	23055	"Frozen Carbonated Beverage, Lingonberry"	20.4 oz.	165	0	0	0	0	0	9	0	43	0	41	0	0	0	0	0	0	0
143126	23055	Latte	6 oz.	43	1	1	0	4.5	0	50	0	5	0	5	3	0	0	0	0	0	0
143127	23055	Lingonberry Drink	16 oz.	98	0	0	0	0	0	6	0	22	0	22	0	0	0	0	0	0	0
143128	23055	"Nordic Water, Lemon"	16 oz.	93	0	0	0	0	0	5	0	22	0	22	0	0	0	0	0	0	0
143129	23055	"Nordic Water, Pear"	16 oz.	93	0	0	0	0	0	0	0	22	0	22	0	0	0	0	0	0	0
143130	23055	"Nordic Water, Raspberry"	16 oz.	93	0	0	0	0	0	6	0	22	0	22	0	0	0	0	0	0	0
143131	23056	Cheese Pizza Slice		400	15	8	0	40	950	47	3	4	17	15	20	35	20	0	0	0	0
143132	23056	Cinnamon Bun		390	9	5	0	0	280	64	2	33	7	15	4	4	15	0	0	0	0
143133	23056	Frozen Yogurt w/Cone		130	0	0	0	0	65	28	0	18	5	0	2	15	2	0	0	0	0
143134	23056	Hot Dog w/Bun		280	16	6	0.5	40	750	23	0	3	11	0	0	0	4	0	0	0	0
