food_id	menu_id	food_name	serving_size	calories	fat	saturated_fat	trans_fat	cholesterol	sodium	carbohydrates	fiber	sugar	protein	vit_a	vit_c	calcium	iron	is_vegetarian	is_vegan	is_gf	is_featured
142839	23043	Artisan-Style Grilled Cheese Sandwich	162 g	490	24	15	0.5	65	1070	45	4	2	29	20	0	60	25	1	0	0	0
142840	23043	BLT Sandwich	197 g	420	15	4	0.1	20	770	56	3	2	17	2	15	2	30	0	0	0	0
142841	23043	Chicken Salad Croissant Sandwich	215 g	430	23	8	0.2	40	830	35	3	5	20	0	20	4	25	0	0	0	0
142842	23043	Chipotle Chicken Grilled Wrap	270 g	430	18	7	0.3	70	1070	41	3	4	27	15	45	30	30	0	0	0	0
142843	23043	Chipotle Steak Grilled Wrap	270 g	460	22	9	0.5	65	1010	40	3	5	28	10	40	40	20	0	0	0	0
142844	23043	Cold Cut Trio Sandwich	235 g	540	28	11	0.3	70	1570	48	3	6	26	6	15	15	25	0	0	0	0
142845	23043	Crispy Chicken Sandwich	254 g	460	16	1	0	55	1180	57	3	3	22	0	15	2	30	0	0	0	0
142846	23043	Ham & Cheddar Sandwich	263 g	470	15	6	0.3	55	1220	58	3	2	25	8	15	20	35	0	0	0	0
142847	23043	Chipotle Steak Sandwich	291 g	560	25	8	0.4	70	1160	61	3	4	28	6	20	15	50	0	0	0	0
142848	23043	"Turkey, Bacon Club Sandwich"	261 g	400	11	4	0	50	1250	51	5	5	26	2	40	2	25	0	0	0	1
142849	23043	Chili	284 mL	290	16	7	0	60	1180	20	5	5	18	4	10	8	25	0	0	0	0
142850	23043	Bistro French Onion Soup	284 mL	230	9	4.5	0.2	20	960	26	1	6	10	6	2	20	8	1	0	0	0
142851	23043	Classic Chicken Noodle Soup	284 mL	120	1.5	0.5	0	5	710	21	1	2	5	4	40	2	4	0	0	0	0
142852	23043	Cream of Broccoli Soup	284 mL	150	7	2.5	0.2	10	680	16	2	6	6	25	25	15	4	0	0	0	0
142853	23043	East Coast Clam Chowder	284 mL	190	7	2	0.2	20	680	23	1	6	9	4	25	15	15	0	0	0	0
142854	23043	Harvest Vegetable Soup	284 mL	80	0.4	0.1	0	0	590	14	2	3	4	25	20	4	6	1	1	0	1
142855	23043	Hearty Potato Bacon Soup	284 mL	230	13	6	0.2	30	760	22	1	5	6	15	2	10	4	0	0	0	0
142856	23043	Caesar Salad (with dressing)	137 g	310	24	7	0.3	35	830	14	1	3	11	4	20	15	8	0	0	0	0
142857	23043	Garden Salad (with dressing)	212 g	140	11	1	0.1	0	310	11	2	7	2	0	30	4	8	1	0	1	0
142858	23043	Savoury Potato Wedges	170 g	250	10	1	0.1	0	670	37	3	2	3	0	10	2	6	1	1	0	0
142859	23043	White Homestyle Bun	105 g	280	4	0.5	0	0	430	52	2	0	10	0	0	2	25	1	1	0	0
142860	23043	Whole Wheat Homestyle Bun	105 g	280	4	0.5	0	0	420	50	5	1	10	0	0	2	20	1	1	0	1
142861	23044	Apple Fritter	1 Donut	310	8	3.5	0	0	330	53	2	19	7	0	4	4	15	1	0	0	0
142862	23044	Caramel Apple Fritter	1 Donut	340	8	3.5	0	0	390	61	2	26	7	0	4	4	15	1	0	0	0
142863	23044	Chocolate Dip	1 Donut	200	6	2.5	0	0	210	34	1	13	4	0	0	2	10	1	0	0	0
142864	23044	Honey Dip	1 Donut	220	6	2.5	0	0	210	39	1	19	4	0	0	2	10	1	0	0	0
142865	23044	Maple Dip	1 Donut	200	6	2.5	0	0	210	34	1	14	4	0	0	2	10	1	0	0	0
142866	23044	Vanilla Dip	1 Donut	250	6	2.5	0	0	210	44	1	22	4	0	0	2	10	1	0	0	0
142867	23044	Chocolate Glazed	1 Donut	280	14	6	0.1	5	320	37	1	19	4	0	0	2	15	1	0	0	0
142868	23044	Chocolate Toasted Coconut	1 Donut	320	16	9	0.1	5	330	41	2	22	4	0	0	2	15	1	0	0	0
142869	23044	Double Chocolate	1 Donut	260	14	6	0.1	5	320	32	1	14	4	0	0	2	15	1	0	0	0
142870	23044	Old Fashion Dip	1 Donut	240	10	5	0.1	15	270	33	1	15	3	0	0	4	10	1	0	0	0
142871	23044	Old Fashion Glazed	1 Donut	260	10	5	0.1	15	270	37	1	19	3	0	0	4	10	1	0	0	0
142872	23044	Old Fashion Plain	1 Donut	210	10	5	0.1	15	260	25	1	8	3	0	0	4	10	1	0	0	0
142873	23044	Sour Cream Glazed	1 Donut	320	16	8	0.1	10	220	40	1	23	3	0	0	2	8	1	0	0	0
142874	23044	Sour Cream Plain	1 Donut	270	16	8	0.1	10	210	27	1	11	3	0	0	2	8	1	0	0	0
142875	23044	Boston Cream	1 Donut	220	6	2.5	0	0	250	37	1	15	5	0	0	2	10	1	0	0	0
142876	23044	Canadian Maple	1 Donut	210	6	2.5	0	0	250	37	1	16	5	0	0	2	10	1	0	0	0
142877	23044	Raspberry	1 Donut	200	5	2	0	0	220	33	1	12	4	0	0	2	10	1	0	0	0
142878	23044	Strawberry Vanilla	1 Donut	230	5	2	0	0	230	41	1	20	5	0	0	2	15	1	0	0	0
142879	23044	Honey Cruller	1 Donut	280	18	9	0.3	50	200	27	0	12	2	0	0	2	2	1	0	0	0
142880	23044	Apple Fritter Timbit	1 Timbit	50	1.5	1	0	0	40	9	0	4	1	0	0	0	2	1	0	0	0
142881	23044	Honey Dip Timbit	1 Timbit	45	1	0.5	0	0	30	8	0	4	1	0	0	0	2	1	0	0	0
142882	23044	Birthday Cake Timbit	1 Timbit	80	3	1.5	0	5	60	12	0	8	1	0	0	0	2	1	0	0	0
142883	23044	Chocolate Glazed Timbit	1 Timbit	90	3	1.5	0	0	85	14	0	8	1	0	0	0	4	1	0	0	0
142884	23044	Old Fashion Glazed Timbit	1 Timbit	80	2.5	1	0	5	75	14	0	9	1	0	0	0	2	1	0	0	0
142885	23044	Old Fashion Plain Timbit	1 Timbit	50	2.5	1	0	5	75	7	0	2	1	0	0	0	2	1	0	0	0
142886	23044	Old Fashion Sugar Timbit	1 Timbit	60	2.5	1	0	5	75	8	0	3	1	0	0	0	2	1	0	0	0
142887	23044	Sour Cream Glazed Timbit	1 Timbit	90	4.5	2	0	5	55	11	0	7	1	0	0	0	2	1	0	0	0
142888	23044	Sour Cream Plain Timbit	1 Timbit	70	4.5	2	0	5	55	7	0	3	1	0	0	0	2	1	0	0	0
142889	23044	Chocolate Toasted Coconut Timbit	1 Timbit	80	4	2	0	0	85	10	0	5	1	0	0	0	4	1	0	0	0
142890	23044	Raspberry Timbit	1 Timbit	45	1	0.5	0	0	35	8	0	4	1	0	0	0	2	1	0	0	0
142891	23044	Strawberry Timbit	1 Timbit	50	1	0.5	0	0	35	8	0	4	1	0	0	0	2	1	0	0	0
142892	23044	Venetian Cream Timbit	1 Timbit	45	1.5	0.5	0	0	40	7	0	2	1	0	0	0	2	1	0	0	0
142893	23044	Honey Cruller Timbit	1 Timbit	70	3	1.5	0.1	10	35	10	0	7	0.2	0	0	0	0	1	0	0	0
142894	23046	Original Blend Coffee (Black)	286 mL	3	0	0	0	0	5	0	0	0	0.3	0	0	0	0	1	0	0	0
