food_id	menu_id	food_name	serving_size	calories	fat	saturated_fat	trans_fat	cholesterol	sodium	carbohydrates	fiber	sugar	protein	vit_a	vit_c	calcium	iron	is_vegetarian	is_vegan	is_gf	
143135	23057	Mixed Olives (85g)	1 Order	110	10	3.5	0	0	1020	3	0	0	0	0	0	0	0	1	1	1	0
143136	23057	Portugese Garlic Bread (133g)	1 Order	510	31	8	18	0	850	51	2	2	7	0	0	0	0	0	0	0	0
143137	23057	PERi-PERi Nuts (40g)	1 Order	220	19	3	0	0	410	12	1	3	7	0	0	0	0	0	0	1	0
143138	23057	PERi-PERi Chicken sliders (288g)	1 Order	560	25	4	0	160	980	56	3	11	28	0	0	0	0	0	0	0	0
143139	23057	Portobello Mushroom Sliders (3) (330g)	3 Pc	570	29	8	0.3	135	2110	62	4	12	19	0	0	0	0	0	0	0	0
143140	23057	Whole Flame Grilled wings (3) (136g)	3 Pc	240	13	2.5	0	70	290	1	0	0	23	0	0	0	0	0	0	1	0
143141	23057	Whole Flame Grilled Wings (5) (227g)	5 Pc	440	21	4	0	115	480	1	0	1	38	0	0	0	0	0	0	1	0
143142	23057	Whole Flame Grilled Wings (10) (454g)	10 Pc	880	42	8	0	230	960	2	0	2	76	0	0	0	0	0	0	1	0
143143	23057	Wing Roulette (454g)	1 Order	1000	44	9	0	230	1570	3	0	2	77	0	0	0	0	0	0	1	0
143144	23057	PERi-PERi Crusted Wings (136g)	3 Pc	290	21	6	0.3	100	100	0	0	0	23	0	0	0	0	0	0	1	0
143145	23057	PERi-PERi Crusted Wings (227g)	5 Pc	420	20	4	0	120	250	0	0	0	38	0	0	0	0	0	0	1	0
143146	23057	PERi-PERi Crusted Wings (454g)	10 Pc	830	40	8	0	235	510	0	0	0	76	0	0	0	0	0	0	1	0
143147	23057	PERi-PERi Chippers (462g)	1 Order	760	46	6	0	20	3170	71	7	4	6	0	0	0	0	0	0	0	0
143148	23057	Hummus and Pita with PERi-PERi Drizzle (238g)	1 Order	590	24	0.2	0	0	1020	75	6	0	12	0	0	0	0	0	0	0	0
143149	23057	Appeteaser Platter (258g)	1 Order	460	59	10	0	0	2270	56	4	6	19	0	0	0	0	0	0	0	0
143150	23057	Casa Salad Regular (No Dressing) (98g)	1 Order	20	0	0	0	0	330	3	1	1	1	0	0	0	0	1	1	1	0
