,Calories (kcal),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fibre (g),Sugars (g),Protein (g),Vitamin A,Vitamin C,Calcium,Iron
Berry Pomegranate Julius - Small,250,0.4,0,0,0,35,63,1,61,0.4,0,0,0,0
Berry Pomegranate Julius - Simple Syrup - Small,330,0.2,0,0,0,35,87,1,84,0.4,0,0,0,0
Berry Pomegranate Julius - Medium,340,0.5,0,0,0,45,84,1,81,1,0,0,0,0
Berry Pomegranate Julius - Simple Syrup - Medium,430,0.3,0,0,0,45,114,1,110,1,0,0,0,0
Berry Pomegranate Julius - Large,500,0.5,0,0,0,70,125,1,121,1,0,0,0,0
Berry Pomegranate Julius - Simple Syrup - Large,650,0.5,0.1,0,0,65,173,1,168,1,0,0,0,0
Mango Pineapple Julius - Small,240,0.2,0,0,0,35,58,0,57,0.4,0,0,0,0
Mango Pineapple Julius - Medium,310,0.2,0,0,0,45,78,1,76,1,0,0,0,0
Mango Pineapple Julius - Simple Syrup - Small,340,0.1,0,0,0,35,90,0,88,0.5,0,0,0,0
Mango Pineapple Julius - Simple Syrup - Medium,450,0.1,0,0,0,45,118,1,116,1,0,0,0,0
Mango Pineapple Julius - Large,470,0.4,0,0,0,70,117,1,114,1,0,0,0,0
Mango Pineapple Julius - Simple Syrup - Large,680,0.2,0,0,0,70,180,1,176,1,0,0,0,0
Orange Julius - Small,200,0.1,0,0,0,35,50,0,48,1,0,0,0,0
Orange Julius - Simple Syrup - Small,210,0,0,0,0,25,55,0,53,1,0,0,0,0
Orange Julius - Medium,260,0.1,0,0,0,45,65,0,62,1,0,0,0,0
Orange Julius - Simple Syrup - Medium,270,0,0,0,0,35,72,0,70,1,0,0,0,0
Orange Julius - Large,400,0.2,0,0,0,65,99,0,95,1,0,0,0,0
Orange Julius - Simple Syrup - Large,410,0,0,0,0,55,110,0,106,1,0,0,0,0
OrangeBerry Julius - Small,230,0.2,0,0,0,35,59,0,57,1,0,0,0,0
OrangeBerry Julius - Simple Syrup - Small,250,0.1,0,0,0,30,68,0,66,1,0,0,0,0
OrangeBerry Julius - Medium,310,0.2,0,0,0,45,80,1,76,1,0,0,0,0
OrangeBerry Julius - Simple Syrup - Medium,330,0.1,0,0,0,40,89,1,87,1,0,0,0,0
OrangeBerry Julius - Large,470,0.3,0,0,0,70,120,1,115,2,0,0,0,0
OrangeBerry Julius - Simple Syrup - Large,510,0.1,0,0,0,60,137,1,132,1,0,0,0,0
Pina Colada Julius - Small,380,4.5,4.5,0.1,0,75,81,2,75,2,0,0,0,0
Pina Colada Julius - Simple Syrup - Small,400,6,6,0.1,0,80,88,2,80,2,0,0,0,0
Pina Colada Julius - Medium,510,7,6,0.1,0,105,108,2,100,3,0,0,0,0
Pina Colada Julius - Simple Syrup - Medium,520,8,7,0.1,0,100,115,3,105,2,0,0,0,0
Pina Colada Julius - Large,750,9,9,0.1,0,150,163,3,151,4,0,0,0,0
Pina Colada Julius - Simple Syrup - Large,790,12,11,0.1,0,160,175,4,160,4,0,0,0,0
Pineapple Orange Straw. Julius - Small,240,0.2,0,0,0,35,61,1,58,1,0,0,0,0
Pineapple Orange Straw. Julius - Simple Syrup - Small,290,0.1,0,0,0,30,78,1,76,1,0,0,0,0
Pineapple Orange Straw. Julius - Medium,310,0.3,0,0,0,45,80,1,76,1,0,0,0,0
Pineapple Orange Straw. Julius - Simple Syrup - Medium,380,0.1,0,0,0,40,102,1,99,1,0,0,0,0
Pineapple Orange Straw. Julius - Large,480,0.4,0,0,0,70,121,1,116,2,0,0,0,0
Pineapple Orange Straw. Julius - Simple Syrup - Large,580,0.2,0,0,0,60,156,1,151,2,0,0,0,0
Strawberry Banana Julius - Small,330,4.5,4.5,0.1,0,70,72,1,64,2,0,0,0,0
Strawberry Banana Julius - Simple Syrup - Small,400,6,6,0.1,0,80,93,2,82,2,0,0,0,0
