,Calories (kcal),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fibre (g),Sugars (g),Protein (g),Vitamin A,Vitamin C,Calcium,Iron
Balsamic Vinaigrette,110,10,1,0,0,320,5,0,4,0,0,0,0,0
Brown Gravy,40,1,0.2,0,0,620,6,0,1,1,0,0,0,0
Calorie Wise Zesty Italian,20,1,0,0,0,450,2,0,2,0,0,0,0,0
Creamy Caesar,140,14,2.5,0,15,360,2,17,1,1,0,0,0,0
French,160,15,2,0,0,300,5,0,5,0,0,0,0,0
Golden Italian,100,10,1.5,0,0,360,3,0,2,0,0,0,0,0
Ranch Dressing,180,19,2.5,0,10,310,2,0,2,0,0,0,0,0
Thousand Island,100,8,1,0,10,440,8,0,7,0,0,0,0,0
